Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-01427,2025-01-01,2025-01-03,CUST-0095,Consumer,Central,Ohio,Cleveland,Furniture,Tables,Round Conference Table,2257.87,5,0.0,391.06
ORD-00057,2025-01-01,2025-01-04,CUST-0319,Consumer,West,California,Fresno,Technology,Laptops,Ultrabook Air 13,5323.73,5,0.05,805.75
ORD-01100,2025-01-01,2025-01-03,CUST-0016,Small Business,Central,Illinois,Springfield,Technology,Phones,5G Phone Max,1661.17,3,0.2,108.33
ORD-00136,2025-01-01,2025-01-06,CUST-0073,Corporate,East,Georgia,Atlanta,Technology,Laptops,Ultrabook Air 13,7235.0,6,0.05,1321.06
ORD-00030,2025-01-01,2025-01-06,CUST-0247,Consumer,East,Pennsylvania,Pittsburgh,Technology,Phones,Smartphone Pro 12,580.59,1,0.3,8.9
ORD-01486,2025-01-02,2025-01-04,CUST-0274,Consumer,Central,Michigan,Detroit,Furniture,Chairs,Visitor Chair,614.48,6,0.2,33.61
ORD-00218,2025-01-02,2025-01-04,CUST-0357,Small Business,West,Oregon,Eugene,Furniture,Chairs,Executive Chair,1592.43,4,0.0,262.66
ORD-00678,2025-01-02,2025-01-03,CUST-0054,Consumer,Central,Michigan,Grand Rapids,Office Supplies,Binders,Premium Binder,123.23,7,0.0,26.63
ORD-00120,2025-01-02,2025-01-04,CUST-0143,Consumer,West,California,Los Angeles,Technology,Laptops,Ultrabook Air 13,8483.7,7,0.0,1642.8
ORD-01352,2025-01-02,2025-01-03,CUST-0332,Small Business,East,New York,Rochester,Furniture,Tables,Side Table,644.15,5,0.2,31.49
ORD-01244,2025-01-02,2025-01-03,CUST-0169,Small Business,West,Nevada,Reno,Technology,Accessories,USB-C Hub,290.33,6,0.0,61.05
ORD-01325,2025-01-02,2025-01-03,CUST-0229,Consumer,East,Georgia,Augusta,Furniture,Chairs,Executive Chair,820.0,2,0.0,156.73
ORD-00123,2025-01-03,2025-01-07,CUST-0173,Consumer,East,New York,Buffalo,Office Supplies,Storage,File Storage Box,16.81,1,0.2,2.6
ORD-01095,2025-01-03,2025-01-08,CUST-0088,Small Business,South,Louisiana,Baton Rouge,Office Supplies,Paper,Recycled Paper Pack,115.38,5,0.15,15.96
ORD-00841,2025-01-03,2025-01-04,CUST-0089,Consumer,West,California,San Jose,Technology,Laptops,Business Laptop 14,3610.8,6,0.3,50.06
ORD-00362,2025-01-03,2025-01-08,CUST-0047,Corporate,West,Nevada,Reno,Office Supplies,Binders,Document Folder Set,13.96,1,0.0,3.87
ORD-00360,2025-01-04,2025-01-07,CUST-0106,Consumer,West,Washington,Spokane,Office Supplies,Binders,Premium Binder,31.49,2,0.1,4.75
ORD-01191,2025-01-04,2025-01-06,CUST-0146,Small Business,Central,Wisconsin,Madison,Office Supplies,Storage,Archive Box Set,214.73,6,0.05,47.13
ORD-01452,2025-01-04,2025-01-06,CUST-0012,Consumer,Central,Michigan,Grand Rapids,Technology,Laptops,Gaming Laptop G5,6670.5,6,0.2,404.03
ORD-00782,2025-01-04,2025-01-09,CUST-0398,Small Business,West,Arizona,Tucson,Technology,Accessories,Wireless Mouse,74.44,3,0.15,6.75
ORD-00159,2025-01-05,2025-01-08,CUST-0149,Consumer,East,Pennsylvania,Pittsburgh,Office Supplies,Paper,Copy Paper Box,217.2,7,0.1,35.99
ORD-01429,2025-01-05,2025-01-08,CUST-0378,Consumer,East,Pennsylvania,Pittsburgh,Office Supplies,Paper,Premium Printing Paper,114.07,3,0.15,16.7
ORD-01079,2025-01-05,2025-01-09,CUST-0289,Consumer,South,Louisiana,Baton Rouge,Technology,Phones,Smartphone Pro 12,703.94,1,0.15,73.21
ORD-01210,2025-01-06,2025-01-08,CUST-0394,Consumer,Central,Illinois,Peoria,Office Supplies,Paper,Recycled Paper Pack,24.15,1,0.1,3.79
ORD-00342,2025-01-06,2025-01-07,CUST-0105,Corporate,East,Virginia,Richmond,Office Supplies,Paper,Premium Printing Paper,48.34,1,0.0,9.33
ORD-00591,2025-01-06,2025-01-08,CUST-0244,Consumer,Central,Michigan,Detroit,Technology,Laptops,Business Laptop 14,4502.19,6,0.15,488.9
ORD-00704,2025-01-07,2025-01-12,CUST-0288,Consumer,East,Georgia,Atlanta,Technology,Phones,5G Phone Max,3093.85,5,0.1,362.34
ORD-01151,2025-01-08,2025-01-12,CUST-0224,Consumer,South,Tennessee,Knoxville,Technology,Phones,5G Phone Max,1841.19,3,0.0,276.46
ORD-00697,2025-01-08,2025-01-09,CUST-0339,Consumer,South,South Carolina,Charleston,Technology,Laptops,Business Laptop 14,6645.58,7,0.0,1434.29
ORD-01348,2025-01-09,2025-01-14,CUST-0138,Consumer,Central,Texas,Austin,Furniture,Tables,Round Conference Table,888.05,2,0.0,132.85
ORD-00462,2025-01-09,2025-01-11,CUST-0140,Consumer,East,Florida,Miami,Office Supplies,Binders,Premium Binder,49.05,3,0.15,8.46
ORD-00987,2025-01-09,2025-01-14,CUST-0168,Corporate,East,Florida,Miami,Office Supplies,Binders,Document Folder Set,60.09,5,0.2,7.6
ORD-00487,2025-01-10,2025-01-15,CUST-0058,Consumer,Central,Ohio,Cincinnati,Technology,Phones,5G Phone Max,3607.0,6,0.0,525.08
ORD-00844,2025-01-10,2025-01-12,CUST-0355,Consumer,West,California,Los Angeles,Office Supplies,Storage,Desktop Organizer,68.39,3,0.2,7.57
ORD-01002,2025-01-11,2025-01-14,CUST-0348,Small Business,Central,Ohio,Cincinnati,Furniture,Tables,Round Conference Table,1535.49,4,0.1,131.09
ORD-01317,2025-01-11,2025-01-16,CUST-0052,Consumer,West,California,San Diego,Technology,Accessories,USB-C Hub,176.52,4,0.1,22.3
ORD-00648,2025-01-11,2025-01-16,CUST-0105,Small Business,South,North Carolina,Raleigh,Technology,Accessories,Wireless Mouse,173.64,6,0.0,35.98
ORD-00583,2025-01-11,2025-01-15,CUST-0358,Consumer,Central,Michigan,Detroit,Technology,Phones,Budget Smartphone X,1310.47,4,0.2,77.25
ORD-01227,2025-01-12,2025-01-17,CUST-0282,Consumer,East,Virginia,Norfolk,Office Supplies,Paper,Recycled Paper Pack,21.27,1,0.2,3.14
